,Zip_Code,Post Office City:,County: ,Timezone: ,Area code: ,Population,Population Density,Housing Units,Median Home Value,Land Area,Water Area,Occupied Housing Units,Median Household Income, Male, Female, White, Black Or African American, American Indian Or Alaskan Native, Asian, Husband Wife Family Households, Single Guardian, Singles, Singles With Roommate, Households without Kids, Households with Kids, In Occupied Housing Units, Correctional Facility For Adults, Juvenile Facilities, Nursing Facilities, Owned Households With A Mortgage, Owned Households Free & Clear, Renter Occupied Households, Households Vacant, For Rent, Rented & Unoccupied, For Sale Only, Sold & Unoccupied, Studio Apartment, 1 Bedroom, 2 Bedroom, 3+ Bedroom, Worked Full-time with Earnings, Worked Part-time with Earnings, No Earnings," Car, truck, or van", Public transportation, Taxicab, Motorcycle, Less than High School Diploma, High School Graduate, Associate's degree, Bachelor's degree, Enrolled in Public School, Enrolled in Private School, Not Enrolled in School,Neighborhood: ,Coordinates:
38,63129.0,"Saint Louis, MO (View All Cities)",St. Louis County,Central (7:19pm),314 (Area Code Map),"52,718","2,523","22,125","$198,000",20.90,1.96,"21,112","$65,861","25,547","27,171","49,963",736,60,"1,064","12,293","2,567","5,227","1,025","14,684","6,428","52,447",0,0,256,"12,165","4,581","4,366","1,013",424,23,243,54,64,"1,601","2,334",662,"18,914","11,384","12,693","25,536",118,0,38,"2,352","19,218","3,076","8,832","6,467","2,690",681,,
39,63025.0,"Eureka, MO (View All Cities)",St. Louis County,Central (7:19pm),,"13,854",346,"5,218","$233,300",39.99,1.16,"4,856","$86,412","6,910","6,944","13,236",87,35,212,"3,255",602,812,187,"2,773","2,083","13,651",0,0,199,"3,415",824,617,362,62,3,119,25,0,113,249,160,"4,652","2,598","2,751","5,993",51,0,0,501,"3,818",608,"2,470","2,761",551,111,,"38.48, -90.61ZIP (~6 mile radius)"
40,63040.0,"Grover, MO (View All Cities)",St. Louis County,Central (7:19pm),,"8,512","1,877","3,100","$275,400",4.53,0.00,"2,985","$108,655","4,164","4,348","7,801",140,13,387,"2,020",311,565,89,"1,556","1,429","8,512",0,0,0,"2,250",341,394,115,36,12,39,6,0,21,211,199,"3,074","1,825","1,356","3,834",112,0,0,59,"1,568",406,"2,221","1,743","1,024",70,,"38.57, -90.64ZIP (~3 mile radius)"
41,63038.0,"Glencoe, MO (View All Cities)",St. Louis County,Central (7:20pm),,"6,914",330,"2,532","$372,200",20.93,0.06,"2,400","$106,513","3,522","3,392","6,497",105,24,154,"1,844",193,300,63,"1,401",999,"6,910",0,0,0,"1,738",459,203,132,21,0,45,6,0,25,12,147,"2,313","1,466","1,350","2,796",28,0,0,128,"1,452",327,"1,484","1,022",364,94,,"38.58, -90.67ZIP (~5 mile radius)"
42,63069.0,"Pacific, MO (View All Cities)",Franklin County,Central (7:20pm),,"15,647",226,"6,145","$190,200",69.17,0.87,"5,614","$50,956","8,304","7,343","14,550",654,65,84,"3,137",880,"1,272",325,"3,713","1,901","14,449","1,082",0,105,"3,213","1,101","1,300",531,181,6,109,17,0,310,759,327,"5,061","2,851","3,816","6,525",14,0,28,"1,285","5,695",689,"1,202","1,901",700,498,,"38.5, -90.7ZIP (~9 mile radius)"
43,63005.0,"Chesterfield, MO (View All Cities)",St. Louis County,Central (7:20pm),636 (Area Code Map),"17,753",511,"6,384","$531,900",34.73,1.87,"6,058","$163,413","8,871","8,882","15,960",352,28,"1,065","4,700",358,827,173,"3,454","2,604","17,731",0,22,0,"4,286","1,019",753,326,84,2,98,25,15,335,171,111,"5,995","3,477","3,702","7,606",13,0,5,99,"2,199",582,"4,792","3,411","1,233",196,,
44,63049.0,"High Ridge, MO (View All Cities)",Jefferson County,Central (7:20pm),,"15,896",630,"6,429","$150,900",25.25,0.00,"6,012","$60,511","7,950","7,946","15,307",108,61,129,"3,439",980,"1,234",359,"3,861","2,151","15,833",0,2,0,"3,956","1,125",931,417,131,4,137,20,43,159,264,419,"5,885","3,796","3,204","8,273",0,0,14,"1,018","6,516",995,"1,661","1,902",563,257,,"38.48, -90.55ZIP (~5 mile radius)"
45,63102.0,"Saint Louis, MO (View All Cities)",St. Louis city,Central (7:20pm),,"2,316","1,552","1,351","$194,200",1.49,0.49,941,"$54,018","1,779",537,958,"1,143",14,155,103,49,689,100,897,44,"1,256","1,037",0,0,54,10,877,410,253,13,57,2,203,533,270,50,726,506,915,580,120,0,0,243,587,180,426,37,0,32,Columbus Square,
46,63104.0,"Saint Louis, MO (View All Cities)",St. Louis city,Central (7:20pm),,"18,656","5,399","10,840","$192,700",3.46,0.35,"9,069","$45,498","9,160","9,496","8,711","9,032",43,283,"1,898","1,893","3,985","1,293","7,034","2,035","18,446",0,33,30,"2,987",539,"5,543","1,771",705,56,238,72,253,"2,219","2,225","1,006","7,544","3,892","4,085","8,742",705,41,44,"1,519","5,029",650,"3,353","2,224","1,032",283,McKinley,
47,63103.0,"Saint Louis, MO (View All Cities)",St. Louis city,Central (7:20pm),,"6,900","3,196","5,625","$178,300",2.16,0.00,"3,701","$34,719","3,746","3,154","3,357","3,080",17,268,452,303,"2,516",430,"3,451",250,"5,275",75,0,66,655,51,"2,995","1,924","1,213",38,104,20,566,"1,343","1,090",50,"2,429","2,043","1,958","2,573",497,0,0,549,"1,937",224,"1,362",145,61,26,Downtown West,
48,63113.0,"Saint Louis, MO (View All Cities)",St. Louis city,Central (7:20pm),,"13,167","5,187","7,160","$66,600",2.54,0.00,"4,933","$24,561","6,296","6,871",356,"12,579",18,19,834,"2,033","1,829",237,"3,345","1,588","12,436",188,0,316,"1,255",984,"2,694","2,227",683,58,109,128,83,"1,039",773,797,"2,811","2,322","4,632","3,028",812,0,0,"1,666","4,987",491,564,"2,060",162,174,Lewis Place,
